date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2013/12/25,486016287.42,58151.0,8108930000.0,682.21,0.0,4250.0,12.61901637,
2013/12/26,796251204.599,55814.0,8326270000.0,761.98,0.0,4150.0,12.43286359,
2013/12/27,406682255.765,49543.0,9295570000.0,735.07,46862700.0,4500.0,12.93953868,
2013/12/28,362041381.719,53872.0,8990850000.0,727.83,32505800.0,4375.0,12.44201179,
2013/12/29,495117420.229,47385.0,8872600000.0,745.05,19011300.0,4050.0,11.49560145,
2013/12/30,575027659.947,49881.0,9037000000.0,756.13,20707700.0,4050.0,13.47189495,
2013/12/31,564370471.915,56313.0,9268240000.0,754.01,20897300.0,4675.0,13.17966365,
2014/01/01,384725170.514,51224.0,9203030000.0,771.4,22489400.0,4300.0,11.24629303,
2014/01/02,399572858.364,40747.0,9428180000.0,802.39,38489500.0,4925.0,9.00630984,
2014/01/03,478513026.822,51262.0,9786680000.0,818.72,37810100.0,3600.0,12.93974611,
2014/01/04,762256906.244,63406.0,10035600000.0,859.51,38005000.0,4225.0,14.4504349,
2014/01/05,528078137.603,51518.0,10465700000.0,933.53,72898500.0,3450.0,12.09017205,
2014/01/06,814094757.656,57249.0,11410400000.0,953.29,85565700.0,4650.0,13.61809361,
2014/01/07,713518348.963,67748.0,11571400000.0,802.0,81311700.0,4425.0,29.82023843,
2014/01/08,645042347.623,61942.0,9734800000.0,842.72,74175600.0,4675.0,15.21717994,
2014/01/09,777727767.67,61835.0,10295100000.0,846.86,59998600.0,4900.0,14.20804275,
2014/01/10,415724361.26,59205.0,10363300000.0,868.48,31876800.0,4750.0,13.06460228,
2014/01/11,503206083.563,55439.0,10619900000.0,913.95,44754200.0,4875.0,12.73628226,
2014/01/12,314419285.999,56268.0,11264800000.0,863.22,39623500.0,5275.0,12.3801392,
2014/01/13,283445458.729,49454.0,10541500000.0,841.2,45580900.0,4825.0,11.7404285,
2014/01/14,388641575.661,54042.0,10336500000.0,833.27,20829800.0,4925.0,12.28556988,
2014/01/15,485731501.217,53683.0,10216700000.0,860.9,28107200.0,3700.0,12.19648116,
2014/01/16,544065744.583,62702.0,10553800000.0,835.63,19149300.0,4325.0,19.97965844,
2014/01/17,429150596.758,55861.0,10241200000.0,814.64,39031700.0,4975.0,13.36155107,
2014/01/18,321313850.197,59125.0,10018200000.0,840.0,18052700.0,3775.0,14.6468525,
2014/01/19,281643639.074,53571.0,10311500000.0,870.96,24365700.0,4300.0,12.94063759,
2014/01/20,412358148.669,47811.0,10704800000.0,870.2,27652700.0,4475.0,11.80457955,
2014/01/21,617608527.38,60194.0,10687700000.0,863.91,18997300.0,4600.0,14.0453292,
2014/01/22,462831678.883,72129.0,10661400000.0,845.59,18453700.0,4250.0,16.38900355,
2014/01/23,354792103.919,65759.0,10398000000.0,822.04,15607100.0,4775.0,14.11464982,
2014/01/24,387422197.593,63657.0,10118400000.0,797.07,34912000.0,4550.0,16.96521877,
2014/01/25,569246176.786,66325.0,9799920000.0,853.61,24303900.0,4825.0,15.75402838,
2014/01/26,409875554.821,54717.0,10510400000.0,885.28,32224300.0,3925.0,12.2226694,
2014/01/27,258334078.338,52364.0,10894400000.0,771.39,49233600.0,3950.0,11.48134112,
2014/01/28,621086309.896,61494.0,9535950000.0,812.51,44875500.0,4100.0,13.14408526,
2014/01/29,521698780.67,66442.0,9981850000.0,826.0,17984400.0,4050.0,14.01059215,
2014/01/30,355186024.032,60311.0,10182900000.0,819.03,29918200.0,3925.0,13.45821084,
2014/01/31,428680933.661,61438.0,10092900000.0,829.92,17107900.0,4100.0,13.64895666,
2014/02/01,328951517.192,60530.0,10222300000.0,832.58,19668700.0,4650.0,13.62773726,
2014/02/02,344660443.626,55923.0,10279200000.0,825.37,11300900.0,4875.0,12.66526224,
2014/02/03,358608744.618,50507.0,10174100000.0,823.83,13940100.0,4450.0,10.01752128,
2014/02/04,395338272.532,59483.0,10174000000.0,827.96,16609700.0,4800.0,12.73745768,
2014/02/05,566899680.808,65207.0,10254100000.0,811.91,22395100.0,4200.0,13.5184934,
2014/02/06,443325164.256,67942.0,10079900000.0,781.55,50108700.0,4325.0,13.83310049,
2014/02/07,476573669.981,68961.0,9683190000.0,712.4,113643000.0,4100.0,15.0306946,
2014/02/08,531180595.302,72480.0,8651930000.0,673.92,38742600.0,4100.0,15.46350605,
2014/02/09,380497502.333,64133.0,8307340000.0,682.9,39311400.0,4450.0,12.4508776,
2014/02/10,338796520.629,58815.0,8431680000.0,681.03,112758000.0,3700.0,11.06891301,
2014/02/11,418235175.673,67677.0,8461320000.0,672.17,72745200.0,3875.0,13.14691692,
2014/02/12,457477723.383,63135.0,8326420000.0,651.72,25367600.0,4100.0,12.25564069,
2014/02/13,366427659.864,61830.0,8065550000.0,605.24,38588100.0,4275.0,16.09964453,
2014/02/14,368463887.855,67712.0,7449940000.0,661.99,102506000.0,4400.0,13.92974014,
2014/02/15,468256928.185,76652.0,8193290000.0,650.92,26709200.0,4925.0,17.08877572,
2014/02/16,573240206.715,63082.0,8077340000.0,616.63,40061700.0,4450.0,13.55332947,
2014/02/17,312505898.674,55282.0,7620580000.0,626.27,31948400.0,4825.0,10.86050675,
2014/02/18,359513758.551,58987.0,7783430000.0,626.6,20015100.0,4050.0,12.97488797,
2014/02/19,277736934.916,67993.0,7771210000.0,623.03,13897800.0,4225.0,24.1472286,
2014/02/20,225727643.217,68833.0,7738580000.0,556.14,46905000.0,4875.0,14.27430015,
